slug,pmid,pmcid,source,available,quality,license,is_open_access,elapsed_ms,failure
jats_verified_pmid,27083046,PMC4878868,europe_pmc_core_search,True,metadata,cc by,Y,408,
jats_verified_pmid,27083046,PMC4878868,current_europe_pmc_fullTextXML_by_pmcid,True,"title,abstract,sections,paragraphs,refs",,,792,
jats_verified_pmid,27083046,PMC4878868,ncbi_bioc_pmc_by_pmcid,True,"title,abstract,fulltext",CC BY,,265,
jats_verified_pmid,27083046,PMC4878868,pubtator3_biocjson_by_pmcid,False,none,,,97,"[""pmids is a mandatory parameter.""]"
jats_verified_pmid,27083046,PMC4878868,pmc_oa_manifest,True,tgz,CC BY,,97,
jats_verified_pmid,27083046,PMC4878868,current_europe_pmc_fullTextXML_by_pmid,False,none,,,442,404
jats_verified_pmid,27083046,PMC4878868,ncbi_bioc_pmc_by_pmid,True,"title,abstract,fulltext",CC BY,,202,
jats_verified_pmid,27083046,PMC4878868,pubtator3_biocjson_by_pmid,True,"title,abstract,entities",,,103,
ncbi_bioc_sample,17299597,PMC1790863,europe_pmc_core_search,True,metadata,cc by,Y,410,
ncbi_bioc_sample,17299597,PMC1790863,current_europe_pmc_fullTextXML_by_pmcid,True,"title,abstract,sections,paragraphs,refs",,,696,
ncbi_bioc_sample,17299597,PMC1790863,ncbi_bioc_pmc_by_pmcid,True,"title,abstract,fulltext",CC BY,,166,
ncbi_bioc_sample,17299597,PMC1790863,pubtator3_biocjson_by_pmcid,False,none,,,97,"[""pmids is a mandatory parameter.""]"
ncbi_bioc_sample,17299597,PMC1790863,pmc_oa_manifest,True,tgz,CC BY,,99,
ncbi_bioc_sample,17299597,PMC1790863,current_europe_pmc_fullTextXML_by_pmid,False,none,,,451,404
ncbi_bioc_sample,17299597,PMC1790863,ncbi_bioc_pmc_by_pmid,True,"title,abstract,fulltext",CC BY,,165,
ncbi_bioc_sample,17299597,PMC1790863,pubtator3_biocjson_by_pmid,True,"title,abstract,entities",,,107,
non_pmc_control,22663011,,europe_pmc_core_search,True,metadata,,N,443,
non_pmc_control,22663011,,current_europe_pmc_fullTextXML_by_pmid,False,none,,,440,404
non_pmc_control,22663011,,ncbi_bioc_pmc_by_pmid,False,none,,,108,
non_pmc_control,22663011,,pubtator3_biocjson_by_pmid,True,"title,abstract,entities",,,130,
title_lookup_only,41807883,PMC12976322,europe_pmc_core_search,True,metadata,cc by,Y,524,
title_lookup_only,41807883,PMC12976322,current_europe_pmc_fullTextXML_by_pmcid,True,"title,abstract,sections,paragraphs,tables,refs",,,1010,
title_lookup_only,41807883,PMC12976322,ncbi_bioc_pmc_by_pmcid,True,"title,abstract,fulltext",CC BY,,297,
title_lookup_only,41807883,PMC12976322,pubtator3_biocjson_by_pmcid,False,none,,,95,"[""pmids is a mandatory parameter.""]"
title_lookup_only,41807883,PMC12976322,pmc_oa_manifest,True,tgz,CC BY,,98,
title_lookup_only,41807883,PMC12976322,current_europe_pmc_fullTextXML_by_pmid,False,none,,,480,404
title_lookup_only,41807883,PMC12976322,ncbi_bioc_pmc_by_pmid,True,"title,abstract,fulltext",CC BY,,290,
title_lookup_only,41807883,PMC12976322,pubtator3_biocjson_by_pmid,True,"title,abstract,entities",,,96,
s2orc_dataset_fit,,,semantic_scholar_s2orc_dataset,True,bulk-json-metadata-only-in-probe,ODC-BY at dataset level per docs; article-level rights still apply,,257,
